Date-Time,Température à 500hPa (K),Température à 1000hPa (K)
2022-08-04 08:00:00,264.22191595832186,301.0231498420341
2022-08-04 09:00:00,264.2980546315492,301.8554243045537
2022-08-04 10:00:00,264.3820697192483,302.59843273639297
2022-08-04 11:00:00,264.59604564573203,303.055264775757
2022-08-04 12:00:00,264.8008324219987,303.4582746495638
2022-08-04 13:00:00,264.95967344717985,303.81533877228514
2022-08-04 14:00:00,264.95048429696277,303.75889113523726
2022-08-04 15:00:00,265.02924844168075,303.81271330079454
2022-08-04 16:00:00,265.28391917626874,303.8232151867569
2022-08-04 17:00:00,265.5871611334328,303.63155576794327
2022-08-04 18:00:00,266.02298940087206,303.4162671057142
2022-08-04 19:00:00,266.60453133603954,303.12483977025784
2022-08-04 20:00:00,267.05873790391297,302.7992813054237
2022-08-04 21:00:00,267.3094704312651,302.45009359717415
2022-08-04 22:00:00,267.4263039125967,302.02345447995197
2022-08-04 23:00:00,267.46306051346505,301.5968153627298
2022-08-05 00:00:00,267.4840642853899,301.2515658617162
2022-08-05 01:00:00,267.4079256121625,300.9233819253914
2022-08-05 02:00:00,267.36591806831296,300.6477074188786
2022-08-05 03:00:00,267.36197986107703,300.3996003630171
2022-08-05 04:00:00,267.36723080405824,300.1816862292975
2022-08-05 05:00:00,267.2950303380668,299.9755867172855
2022-08-05 06:00:00,267.12568742692326,299.8521895572274
2022-08-05 07:00:00,266.9340280081096,300.77110457893673
2022-08-05 08:00:00,266.75155773951303,302.3857695456545
2022-08-05 09:00:00,266.71480113864465,303.10383599833307
2022-08-05 10:00:00,266.71086293140877,303.76545481396374
2022-08-05 11:00:00,266.69773557395575,304.5005868313312
2022-08-05 12:00:00,266.56252379218995,305.1608929112166
2022-08-05 13:00:00,266.42731201042415,305.5980339144012
2022-08-05 14:00:00,266.3603624874139,305.91571596476354
2022-08-05 15:00:00,266.2212124984122,306.03648765333105
2022-08-05 16:00:00,266.0387422298157,305.9078395502917
2022-08-05 17:00:00,265.9009049765593,305.49432779052256
2022-08-05 18:00:00,265.7315620654157,304.81826888169354
2022-08-05 19:00:00,265.52677528914904,304.06344582814666
2022-08-05 20:00:00,265.3141120984106,303.4293944631672
2022-08-05 21:00:00,265.2012168243149,302.96862421656726
2022-08-05 22:00:00,264.60260932445857,301.575811590805
2022-08-05 23:00:00,264.5094050865423,301.39727952944435
2022-08-06 00:00:00,264.5041541435611,301.11504134420505
2022-08-06 01:00:00,264.5199069725047,300.88531258877777
2022-08-06 02:00:00,264.3597532115782,300.69759137719996
2022-08-06 03:00:00,264.35581500434233,300.5650050669248
2022-08-06 04:00:00,264.4083244341543,300.429793285159
2022-08-06 05:00:00,264.1470900208398,300.1935008510052
2022-08-06 06:00:00,264.31249472474747,300.09635840585304
2022-08-06 07:00:00,264.789017800291,301.053342764176
2022-08-06 08:00:00,264.85990553053716,302.57611622872287
2022-08-06 09:00:00,264.7693267641115,303.35063031844925
2022-08-06 10:00:00,264.560601780609,305.0532485801021
2022-08-06 11:00:00,264.68793714790297,305.50614241223025
2022-08-06 12:00:00,264.8100215722158,305.8513919132439
2022-08-06 13:00:00,264.5632272520996,306.1677612278609
2022-08-06 14:00:00,264.3229966107099,306.23733622236176
2022-08-06 15:00:00,264.36369141881414,306.1625102848798
2022-08-06 16:00:00,264.5304088584671,305.9787272805379
2022-08-06 17:00:00,264.76407582113035,305.7004273025345
2022-08-06 18:00:00,264.841527230103,305.38405798791746
